# Index number,# Trap location y-coordinate of trap in SVY21 coordinate system,# Trap location x-coordinate of trap in SVY21 coordinate system,"# Deployment contractor, grouped A or B/C",# Trap deployment date in Julian date format (yyddd),"# sin(ops_start), to account for seasonal variations","# cos(ops_start),  to account for seasonal variations",# Population density of crows at trap vicinity (crow per hectare); estimate from data by Tan et al 2020,"# Number of feeding cases in a 250m radius around trap, prior to trap deployement","# Number of feeding cases in a 500m radius around trap, prior to trap deployement","# Percentage of built up area (including roads, buildings, and other urban structures) in a 250m radius of trap ","# Percentage of vegetated areas that are routinely managed (e.g., planted and maintained by pruning) and utilized by humans, such as urban parks and gardens, in a 250m radius of the trap",# Percentage of tree canopy cover in a 250m radius of the trap,"# Percentage of built up area (including roads, buildings, and other urban structures) in a 500m radius of trap ","# Percentage of vegetated areas that are routinely managed (e.g., planted and maintained by pruning) and utilized by humans, such as urban parks and gardens, in a 500m radius of the trap",# Percentage of tree canopy cover in a 500m radius of the trap,"# Spatial-temporal index of proximity; a smaller interval between this trap and the previous one, smaller  distance between adjacent traps, and greater number of prior traps would give a greater value",# Total number of crows caught per active day of operation; inactive days where the trap was not monitored or operated (eg weekends) or days of inclement weather were excluded,# Presence of other birds trapped (Javan mynas or rock pigeons)
idx,lat_svy21_adj,lon_svy21_adj,contractor,ops_start,sin_ops_start,cos_ops_start,pop_density,feeding_count_250m,feeding_count_500m,builtup_area_250m,human_veg_area_250m,tree_canopy_area_250m,builtup_area_500m,human_veg_area_500m,tree_canopy_area_500m,proximity_index,crows_caught_per_day,other_birds
36,39760.83118,21357.54409,A,22364,-0.034327601,0.999410634,0.276509541,24,38,68.92124636,25.97217653,10.39945796,59.64787137,31.33311082,22.26898476,240.8628074,1,FALSE
37,39746.39984,18491.70717,A,22271,-0.998195433,-0.060048959,0.027468512,0,5,52.55050092,47.36068065,3.283672367,59.35282922,39.6185579,5.51892386,153.0416979,3.428571429,FALSE
38,40296.95299,20967.38372,A,22279,-0.997017526,0.077175462,0.260034524,4,78,71.82964569,27.03663784,8.804907475,71.03952795,25.50654722,10.87091964,156.5608453,0.571428571,FALSE
39,40294.5397,18263.05324,A,23031,0.507415093,0.86170176,0.026581216,5,60,75.95309681,24.04527221,13.23813394,77.13430582,22.08464132,12.89471164,256.7612877,0.2,FALSE
40,35601.50029,29640.10661,A,23027,0.447093793,0.894487082,0.353629694,10,64,78.93390607,21.06609393,8.187904076,74.27952389,25.19047793,11.59561793,266.9873705,0.25,FALSE
41,36015.7452,29310.98868,A,22287,-0.977063856,0.21294652,0.271484738,3,13,60.21912947,35.92741849,22.25810901,58.41176887,37.00664775,21.65030387,165.4388119,1.4,FALSE
42,35510.19668,29278.80622,A,22287,-0.977063856,0.21294652,0.32249503,11,22,77.71902102,22.28097898,10.71829826,68.43220951,31.56779049,12.53586989,168.2699824,0.777777778,FALSE
43,35490.63614,29313.70666,A,22319,-0.722116597,0.691771365,0.314834793,11,29,76.64574195,23.35425805,11.54884068,69.70648198,30.29351802,12.45486847,198.200293,0,FALSE
44,35507.14492,29302.28829,A,22263,-0.980575394,-0.196142541,0.32249503,7,20,76.88644977,23.11355023,11.40963741,69.02377118,30.97622882,12.40461519,150.8894443,2.714285714,FALSE
45,35497.31497,29335.07419,A,23047,0.722116597,0.691771365,0.314834793,13,34,76.42987688,23.57012312,11.57056489,70.34563946,29.65436054,12.33706517,288.2952318,3.142857143,FALSE
46,35515.47116,29291.43754,A,22345,-0.352752087,0.935716819,0.32249503,10,27,77.1742438,22.8257562,11.00765021,68.65659731,31.34340269,12.44955614,223.1872628,5,FALSE
47,35675.63848,29205.30999,A,22348,-0.304114832,0.952635381,0.32249503,10,20,69.76474777,30.23525223,8.077953281,63.50545953,35.85984481,14.07326756,230.1215997,2.428571429,FALSE
48,41991.71155,36453.65192,A,22356,-0.170829743,0.985300563,0.013329634,18,55,69.54824098,30.06111527,0.235560557,68.9106565,30.25848799,0.222453847,237.956357,0,TRUE
49,39092.90649,41910.15405,A,23005,0.0857305,0.996318363,0.198434813,6,12,67.28817706,32.49583519,6.087872299,70.903381,27.77934662,3.676146619,244.4995434,6.857142857,FALSE
50,42550.59179,37445.08565,A,22329,-0.593326764,0.804961708,0.003842067,1,5,66.59665853,23.64650286,0.000279598,62.89619644,25.45119242,3.430085242,201.8306123,1.285714286,FALSE
51,42749.13489,36977.29693,A,23033,0.536696194,0.84377556,0.004704575,5,13,80.16251062,10.65205559,0.000279596,72.95103252,22.04174399,0.020701789,276.5151192,0,FALSE
